feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
prostate,C0033572,Prostate,"Prostate. A gland in males that surrounds the neck of the URINARY BLADDER and the URETHRA. It secretes a substance that liquefies coagulated semen. It is situated in the pelvic cavity behind the lower part of the PUBIC SYMPHYSIS, above the deep layer of the triangular ligament, and rests upon the RECTUM.",0,0.668,0.0,0.0,0.0,0.0001,0.1715,,0.0,"Non-cancer illness code, self-reported | Array 1__prostate",1.0,17601,"Non-cancer illness code, self-reported | Array 1__prostate < 0.26",0.17,0.17,2,104,0.04
eye,C0015392,Eye,Eye. The organ of sight constituting a pair of globular organs made up of a three-layered roughly spherical structure specialized for receiving and responding to light.,0,0.603,0.0,0.0,0.0,0.0001,0.1317,,0.0,"Non-cancer illness code, self-reported | Array 1__eye",1.0,17632,"Non-cancer illness code, self-reported | Array 1__eye < 0.23",0.13,0.14,2,456,0.06
chronic,C1555457,Provision of recurring care for chronic illness,Provision of recurring care for chronic illness. <p>Provision of recurring care for chronic illness.</p>,0,0.474,0.0,0.0,0.0,0.0001,0.0013,,0.0,"Non-cancer illness code, self-reported | Array 1__chronic",1.0,17486,"Non-cancer illness code, self-reported | Array 1__chronic < 0.21",0.11,0.17,99,0,0.0
Job code at visit strategy planning,,,,0,1.0,0.0,0.0,0.0,0.0001,0.0142,,0.0084,Job code at visit__strategy planning,1.0,17609,Job code at visit__strategy planning < 0.24,-0.05,-0.05,2,80,0.28
Mental health conditions ever diagnosed by a professional ptsd,,,,0,1.0,0.0,0.0,0.0,0.0001,0.0869,,0.0034,Mental health conditions ever diagnosed by a professional__ptsd,1.0,17618,Mental health conditions ever diagnosed by a professional__ptsd < 0.24,-0.02,-0.02,2,80,0.28
kidney,C0022646,Kidney,Kidney. Body organ that filters blood for the secretion of URINE and that regulates ion concentrations.,1,0.676,0.0,1.0,0.3,0.0001,0.1025,,0.0098,"Non-cancer illness code, self-reported | Array 3__kidney",1.0,17629,"Non-cancer illness code, self-reported | Array 3__kidney < 0.34",0.21,0.21,1,54,0.01
Mental health conditions ever diagnosed by a professional post,,,,0,1.0,0.0,0.0,0.0,0.0001,0.0869,,0.0059,Mental health conditions ever diagnosed by a professional__post,1.0,17618,Mental health conditions ever diagnosed by a professional__post < 0.24,0.04,0.04,2,80,0.28
spine arthritis,C0949690,Spondylarthritis,"Spondylarthritis. Inflammation of the joints of the SPINE, the intervertebral articulations.",0,0.863,0.0,0.0,0.0,0.0001,0.0295,,0.0001,"Non-cancer illness code, self-reported | Array 1__spine arthritis",1.0,17639,"Non-cancer illness code, self-reported | Array 1__spine arthritis < 0.23",0.18,0.27,2,222,0.53
Job code at visit filing,,,,0,1.0,0.0,0.0,0.0,0.0001,0.0283,,0.0016,Job code at visit__filing,1.0,17649,Job code at visit__filing < 0.22,-0.08,-0.08,2,80,0.28
dvt,C0149871,Deep Vein Thrombosis,"Deep Vein Thrombosis. A blood clot in a deep vein, predominantly in the lower extremity, but may include the pelvis or upper extremity.",0,0.391,0.0,0.0,0.0,0.0001,0.0001,,0.0017,"Non-cancer illness code, self-reported | Array 2__dvt",1.0,17601,"Non-cancer illness code, self-reported | Array 2__dvt < 0.17",0.05,0.07,2,31,0.03
spondylitis,C0038012,Spondylitis,Spondylitis. Inflammation of the SPINE. This includes both arthritic and non-arthritic conditions.,0,0.904,0.0,0.0,0.0,0.0001,0.0376,,0.0037,"Non-cancer illness code, self-reported | Array 1__spondylitis",1.0,17623,"Non-cancer illness code, self-reported | Array 1__spondylitis < 0.22",0.24,0.27,2,39,0.25
pulmonary embolism,C0034065,Pulmonary Embolism,Pulmonary Embolism. Blocking of the PULMONARY ARTERY or one of its branches by an EMBOLUS.,0,0.886,0.0,0.0,0.0,0.0001,0.0058,,0.0007,"Non-cancer illness code, self-reported | Array 2__pulmonary embolism",1.0,17639,"Non-cancer illness code, self-reported | Array 2__pulmonary embolism < 0.23",0.16,0.16,2,36,0.03
medication cerazette 75micrograms,,,,0,1.0,0.0,0.0,0.0,0.0,0.1763,,0.001,Treatment/medication code | Array 0__cerazette 75micrograms,1.0,17660,Treatment/medication code | Array 0__cerazette 75micrograms < 0.24,0.03,0.03,2,80,0.28
medication d3 5g,,,,0,1.0,0.0,0.0,0.0,0.0,0.0543,,0.0028,Treatment/medication code | Array 0__d3 5g,1.0,17571,Treatment/medication code | Array 0__d3 5g < 0.16,0.06,0.06,2,80,0.28
medication chewable tablet,C0039225,Tablet Dosage Form,"Tablet Dosage Form. Solid dosage forms, of varying weight, size, and shape, which may be molded or compressed, and which contain a medicinal substance in pure or diluted form. (Dorland, 28th ed)",0,0.519,0.0,0.0,0.0,0.0,0.0585,,0.0037,Treatment/medication code | Array 0__chewable tablet,1.0,17490,Treatment/medication code | Array 0__chewable tablet < 0.15,0.15,0.28,2,0,0.0
medication 100micrograms inhaler,C0021461,Inhaler,Inhaler. A device by means of which a medicinal product can be administered by inspiration through the nose or the mouth.,0,0.59,0.0,0.0,0.0,0.0,0.0358,,0.0,Treatment/medication code | Array 0__100micrograms inhaler,1.0,17644,Treatment/medication code | Array 0__100micrograms inhaler < 0.23,-0.06,-0.06,2,195,0.99
thyrotoxicosis,C0040156,Thyrotoxicosis,Thyrotoxicosis. A hypermetabolic syndrome caused by excess THYROID HORMONES which may come from endogenous or exogenous sources. The endogenous source of hormone may be thyroid HYPERPLASIA; THYROID NEOPLASMS; or hormone-producing extrathyroidal tissue. Thyrotoxicosis is characterized by NERVOUSNESS; TACHYCARDIA; FATIGUE; WEIGHT LOSS; heat intolerance; and excessive SWEATING.,0,0.874,0.0,0.0,0.0,0.0,0.1574,,0.0025,"Non-cancer illness code, self-reported | Array 1__thyrotoxicosis",1.0,17638,"Non-cancer illness code, self-reported | Array 1__thyrotoxicosis < 0.29",0.22,0.22,2,0,0.0
Eye problems/disorders Injury or trauma resulting in loss of vision,C0043251,Wounds and Injuries,"Wounds and Injuries. Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.",0,0.537,0.0,0.0,0.0,0.0,0.1075,,0.0069,Eye problems/disorders_Injury or trauma resulting in loss of vision,1.0,17610,Eye problems/disorders_Injury or trauma resulting in loss of vision < 0.50,0.19,0.19,2,105,0.03
medication free text,,,,0,1.0,0.0,0.0,0.0,0.0,0.1143,,0.0048,Treatment/medication code | Array 0__free text,1.13,294,Treatment/medication code | Array 0__free text >= 0.17,-0.15,-0.15,2,80,0.28
Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Zinc,C0026162,Minerals,"Minerals. Native, inorganic or fossilized organic substances having a definite chemical composition and formed by inorganic reactions. They may occur as individual crystals or may be disseminated in some other mineral or rock. (Grant & Hackh's Chemical Dictionary, 5th ed; McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",0,0.152,0.0,0.0,0.0,0.0,0.0169,,0.0041,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Zinc,1.0,17625,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Zinc < 0.50,0.09,0.09,2,0,0.0
medication 75mg tablet,C0039225,Tablet Dosage Form,"Tablet Dosage Form. Solid dosage forms, of varying weight, size, and shape, which may be molded or compressed, and which contain a medicinal substance in pure or diluted form. (Dorland, 28th ed)",0,0.31,0.0,0.0,0.0,0.0,0.1786,,0.0029,Treatment/medication code | Array 0__75mg tablet,1.0,17606,Treatment/medication code | Array 0__75mg tablet < 0.26,0.06,0.06,2,0,0.0
asthma,C0004096,Asthma,"Asthma. A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).",0,0.508,0.0,0.0,0.0,0.0,0.0045,,0.0,"Non-cancer illness code, self-reported | Array 3__asthma",1.0,17642,"Non-cancer illness code, self-reported | Array 3__asthma < 0.50",0.09,0.16,2,0,0.0
tissue problem,,,,0,1.0,0.0,0.0,0.0,0.0,0.074,,0.0015,"Non-cancer illness code, self-reported | Array 1__tissue problem",1.0,17648,"Non-cancer illness code, self-reported | Array 1__tissue problem < 0.21",0.22,0.25,2,80,0.28
