name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0.00045,0.0004,-0.012,-0.012,1,7e-05,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",1.0,90185,98.9,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50","Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching","Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0,0,0.0
Treatment/medication code | Array 0 cialis 10mg,0.00045,0.10237,0.005,0.005,1,1e-05,Treatment/medication code | Array 0__cialis 10mg,1.0,91536,99.9,Treatment/medication code | Array 0__cialis 10mg < 0.28,Treatment/medication code | Array 0 cialis 10mg,Treatment/medication code | Array 0 cialis 10mg,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 pulmonary",0.00045,0.0,0.032,0.032,1,0.00044,"Non-cancer illness code, self-reported | Array 2__pulmonary",0.99,91295,99.14,"Non-cancer illness code, self-reported | Array 2__pulmonary < 0.22","Non-cancer illness code, self-reported | Array 2 pulmonary","Non-cancer illness code, self-reported | Array 2 pulmonary",0,0,0.0
M51.1 - Lumbar and other intervertebral disk disorders with radiculopathy,0.00044,0.08766,0.007,0.007,1,0.00024,M51.1 - Lumbar and other intervertebral disk disorders with radiculopathy,1.0,90946,99.1,-9.00 <= M51.1 - Lumbar and other intervertebral disk disorders with radiculopathy < 4.40,M51.1 - Lumbar and other intervertebral disk disorders with radiculopathy,M51.1 - Lumbar and other intervertebral disk disorders with radiculopathy,0,0,0.0
Age high blood pressure diagnosed_Do not know,0.00044,0.0,0.03,0.03,1,0.0004,Age high blood pressure diagnosed_Do not know,1.47,3201,5.15,Age high blood pressure diagnosed_Do not know >= 0.50,Age high blood pressure diagnosed_Do not know,Age high blood pressure diagnosed_Do not know,0,0,0.0
Age high blood pressure diagnosed_50,0.00044,0.0,0.029,0.029,1,0.00038,Age high blood pressure diagnosed_50,1.44,3469,5.45,Age high blood pressure diagnosed_50 >= 0.50,Age high blood pressure diagnosed_50,Age high blood pressure diagnosed_50,0,0,0.0
Treatment/medication code | Array 0 100mg capsule,0.00043,0.00397,0.009,0.009,1,3e-05,Treatment/medication code | Array 0__100mg capsule,1.0,91540,99.88,Treatment/medication code | Array 0__100mg capsule < 0.25,Treatment/medication code | Array 0 100mg capsule,Treatment/medication code | Array 0 100mg capsule,0,0,0.0
Job code at visit education teaching,0.00043,0.0,-0.02,-0.02,1,0.00024,Job code at visit__education teaching,1.01,88329,97.54,Job code at visit__education teaching < 0.12,Job code at visit education teaching,Job code at visit education teaching,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 heart attack",0.00042,0.0,0.044,0.044,1,0.00084,"Non-cancer illness code, self-reported | Array 0__heart attack",1.57,4617,7.92,"Non-cancer illness code, self-reported | Array 0__heart attack >= 0.19","Non-cancer illness code, self-reported | Array 0 heart attack","Non-cancer illness code, self-reported | Array 0 heart attack",0,0,0.0
Treatment/medication code | Array 0 amitriptyline,0.00041,0.16287,-0.005,-0.005,1,2e-05,Treatment/medication code | Array 0__amitriptyline,1.0,89922,98.37,Treatment/medication code | Array 0__amitriptyline < 0.13,Treatment/medication code | Array 0 amitriptyline,Treatment/medication code | Array 0 amitriptyline,0,0,0.0
Job code at visit service,0.00041,0.02184,-0.008,-0.008,1,6e-05,Job code at visit__service,1.0,89730,98.3,Job code at visit__service < 0.12,Job code at visit service,Job code at visit service,0,0,0.0
Age high blood pressure diagnosed_30,0.0004,0.0,0.017,0.017,1,0.00012,Age high blood pressure diagnosed_30,1.0,91276,99.36,Age high blood pressure diagnosed_30 < 0.50,Age high blood pressure diagnosed_30,Age high blood pressure diagnosed_30,0,0,0.0
"Qualifications_O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0.0004,0.14991,-0.005,-0.005,1,1e-05,"Qualifications_O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",1.0,89066,97.48,"Qualifications_O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50","Qualifications_O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching","Qualifications_O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0,0,0.0
"Non-cancer illness code, self-reported | Array 3 chronic",0.00039,0.16758,0.006,0.006,1,4e-05,"Non-cancer illness code, self-reported | Array 3__chronic",1.0,91265,99.54,"Non-cancer illness code, self-reported | Array 3__chronic < 0.14","Non-cancer illness code, self-reported | Array 3 chronic","Non-cancer illness code, self-reported | Array 3 chronic",0,0,0.0
Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,0.00039,0.0,0.031,0.031,1,0.00042,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,1.6,2182,3.81,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure >= 0.50,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,0,0,0.0
Age angina diagnosed_None,0.00039,0.0,-0.042,-0.042,1,0.00079,Age angina diagnosed_None,1.48,6006,9.67,Age angina diagnosed_None < 0.50,Age angina diagnosed_None,Age angina diagnosed_None,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin",0.00039,0.02373,0.007,0.007,1,3e-05,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin",1.21,1006,1.33,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin >= 0.50","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin",0,0,0.0
"Non-cancer illness code, self-reported | Array 1 hypothyroidism",0.00039,0.12476,-0.005,-0.005,1,1e-05,"Non-cancer illness code, self-reported | Array 1__hypothyroidism",1.0,90531,99.01,"Non-cancer illness code, self-reported | Array 1__hypothyroidism < 0.29","Non-cancer illness code, self-reported | Array 1 hypothyroidism","Non-cancer illness code, self-reported | Array 1 hypothyroidism",0,0,0.0
Job code at visit teaching,0.00039,0.0,-0.022,-0.022,1,0.00029,Job code at visit__teaching,1.01,87979,97.33,Job code at visit__teaching < 0.12,Job code at visit teaching,Job code at visit teaching,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 failure",0.00038,0.0,0.035,0.035,1,0.00044,"Non-cancer illness code, self-reported | Array 2__failure",1.0,91470,99.49,"Non-cancer illness code, self-reported | Array 2__failure < 0.18","Non-cancer illness code, self-reported | Array 2 failure","Non-cancer illness code, self-reported | Array 2 failure",0,0,0.0
Treatment/medication code | Array 0 amiodarone,0.00038,0.0,0.018,0.018,1,0.00012,Treatment/medication code | Array 0__amiodarone,1.0,91432,99.61,Treatment/medication code | Array 0__amiodarone < 0.50,Treatment/medication code | Array 0 amiodarone,Treatment/medication code | Array 0 amiodarone,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 myocardial",0.00037,0.0,0.044,0.044,1,0.00084,"Non-cancer illness code, self-reported | Array 0__myocardial",1.57,4617,7.92,"Non-cancer illness code, self-reported | Array 0__myocardial >= 0.19","Non-cancer illness code, self-reported | Array 0 myocardial","Non-cancer illness code, self-reported | Array 0 myocardial",0,0,0.0
Type 1 diabetes,0.00037,0.00311,0.006,0.006,1,0.00023,Type 1 diabetes,1.0,90689,98.73,-0.06 <= Type 1 diabetes < 6.30,Type 1 diabetes,Type 1 diabetes,0,0,0.0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0.00037,0.02418,-0.007,-0.007,1,3e-05,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",1.0,90134,98.69,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication < 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0,0,0.0
Treatment/medication code | Array 0 cilexetil,0.00036,0.09717,0.005,0.005,1,1e-05,Treatment/medication code | Array 0__cilexetil,1.0,91269,99.55,Treatment/medication code | Array 0__cilexetil < 0.29,Treatment/medication code | Array 0 cilexetil,Treatment/medication code | Array 0 cilexetil,0,0,0.0
Alcohol intake frequency._Never,0.00035,0.0176,-0.008,-0.008,1,3e-05,Alcohol intake frequency._Never,1.01,84338,92.72,Alcohol intake frequency._Never < 0.50,Alcohol intake frequency._Never,Alcohol intake frequency._Never,0,0,0.0
GERD,0.00035,0.09193,-0.005,-0.005,1,0.0001,GERD,1.0,89393,97.39,-0.63 <= GERD < 4.40,GERD,GERD,0,0,0.0
Job code at visit sales,0.00035,0.02984,0.007,0.007,1,6e-05,Job code at visit__sales,1.26,1227,1.68,0.41 <= Job code at visit__sales < 0.45,Job code at visit sales,Job code at visit sales,0,0,0.0
"M19.97 - Arthrosis, unspecified (Ankle and foot)",0.00034,0.10544,0.002,0.002,1,0.00013,"M19.97 - Arthrosis, unspecified (Ankle and foot)",1.0,91367,99.76,"-6.50 <= M19.97 - Arthrosis, unspecified (Ankle and foot) < 13.00","M19.97 - Arthrosis, unspecified (Ankle and foot)","M19.97 - Arthrosis, unspecified (Ankle and foot)",0,0,0.0
Age high blood pressure diagnosed_40,0.00034,0.0,0.037,0.037,1,0.00056,Age high blood pressure diagnosed_40,1.76,1861,3.58,Age high blood pressure diagnosed_40 >= 0.50,Age high blood pressure diagnosed_40,Age high blood pressure diagnosed_40,0,0,0.0
"Non-cancer illness code, self-reported | Array 3 depression",0.00034,0.00077,0.011,0.011,1,6e-05,"Non-cancer illness code, self-reported | Array 3__depression",1.0,90891,98.94,"Non-cancer illness code, self-reported | Array 3__depression < 0.35","Non-cancer illness code, self-reported | Array 3 depression","Non-cancer illness code, self-reported | Array 3 depression",0,0,0.0
Age angina diagnosed_infrequent_,0.00034,0.0,0.021,0.021,1,0.00016,Age angina diagnosed_infrequent_,1.0,91445,99.6,Age angina diagnosed_infrequent_ < 0.50,Age angina diagnosed_infrequent_,Age angina diagnosed_infrequent_,0,0,0.0
"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0.00034,0.0,-0.016,-0.016,1,0.00014,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",1.01,86702,95.77,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50","Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching","Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 high",0.00034,1e-05,-0.015,-0.015,1,0.00012,"Non-cancer illness code, self-reported | Array 0__high",1.01,89676,98.54,"Non-cancer illness code, self-reported | Array 0__high < 0.29","Non-cancer illness code, self-reported | Array 0 high","Non-cancer illness code, self-reported | Array 0 high",0,0,0.0
"Non-cancer illness code, self-reported | Array 4 osteoarthritis",0.00034,0.0,0.025,0.025,1,0.00026,"Non-cancer illness code, self-reported | Array 4__osteoarthritis",0.99,90845,98.5,"Non-cancer illness code, self-reported | Array 4__osteoarthritis < 0.50","Non-cancer illness code, self-reported | Array 4 osteoarthritis","Non-cancer illness code, self-reported | Array 4 osteoarthritis",0,0,0.0
Age heart attack diagnosed,0.00033,0.0034,-0.001,-0.001,1,0.00116,Age heart attack diagnosed,1.68,1158,2.13,-3.30 <= Age heart attack diagnosed < -0.33,Age heart attack diagnosed,Age heart attack diagnosed,0,0,0.0
Vascular/heart problems diagnosed by doctor_Heart attack,0.00032,0.0493,0.006,0.006,1,2e-05,Vascular/heart problems diagnosed by doctor_Heart attack,1.16,1336,1.69,Vascular/heart problems diagnosed by doctor_Heart attack >= 0.50,Vascular/heart problems diagnosed by doctor_Heart attack,Vascular/heart problems diagnosed by doctor_Heart attack,0,0,0.0
Qualifications_NVQ or HND or HNC or equivalent,0.00032,0.00257,0.01,0.01,1,5e-05,Qualifications_NVQ or HND or HNC or equivalent,1.1,7423,8.92,Qualifications_NVQ or HND or HNC or equivalent >= 0.50,Qualifications_NVQ or HND or HNC or equivalent,Qualifications_NVQ or HND or HNC or equivalent,0,0,0.0
Vascular/heart problems diagnosed by doctor_Heart attack|Angina|High blood pressure,0.00031,0.0,0.035,0.035,1,0.0005,Vascular/heart problems diagnosed by doctor_Heart attack|Angina|High blood pressure,1.89,1257,2.59,Vascular/heart problems diagnosed by doctor_Heart attack|Angina|High blood pressure >= 0.50,Vascular/heart problems diagnosed by doctor_Heart attack|Angina|High blood pressure,Vascular/heart problems diagnosed by doctor_Heart attack|Angina|High blood pressure,0,0,0.0
Job code at visit nurses,0.00031,5e-05,-0.014,-0.014,1,0.00014,Job code at visit__nurses,1.0,90893,99.61,Job code at visit__nurses < 0.25,Job code at visit nurses,Job code at visit nurses,0,0,0.0
"Non-cancer illness code, self-reported | Array 3 sciatica",0.0003,0.01522,0.008,0.008,1,3e-05,"Non-cancer illness code, self-reported | Array 3__sciatica",1.0,91447,99.75,"Non-cancer illness code, self-reported | Array 3__sciatica < 0.50","Non-cancer illness code, self-reported | Array 3 sciatica","Non-cancer illness code, self-reported | Array 3 sciatica",0,0,0.0
Job code at visit transport,0.0003,0.07651,0.006,0.006,1,2e-05,Job code at visit__transport,1.0,91097,99.33,Job code at visit__transport < 0.22,Job code at visit transport,Job code at visit transport,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 osteoarthritis",0.0003,0.0,-0.017,-0.017,1,0.00016,"Non-cancer illness code, self-reported | Array 0__osteoarthritis",1.01,89497,98.47,"Non-cancer illness code, self-reported | Array 0__osteoarthritis < 0.50","Non-cancer illness code, self-reported | Array 0 osteoarthritis","Non-cancer illness code, self-reported | Array 0 osteoarthritis",0,0,0.0
Age high blood pressure diagnosed_53,0.00029,0.1871,0.004,0.004,1,1e-05,Age high blood pressure diagnosed_53,1.0,90782,99.0,Age high blood pressure diagnosed_53 < 0.50,Age high blood pressure diagnosed_53,Age high blood pressure diagnosed_53,0,0,0.0
