feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,shortest_path_length,simple_path_length,Novel/Interesting?,Makes Sense?,COMMENTS
Doctor diagnosed emphysema,Doctor diagnosed emphysema_No,0,0,-0.016,0.005,3,1.03,Doctor diagnosed emphysema_No < 0.50,649,(Cholelithiasis) OR (Gallbladder disease),0.543,2,185,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Hayfever, allergic rhinitis or eczema","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema",0,0,-0.009,0.003,3,1.01,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema < 0.50",37637,(Cholelithiasis) OR (Gallbladder disease),0.416,2,92,,,
Bipolar and major depression status No Bipolar or Depression,Bipolar and major depression status_No Bipolar or Depression,0,0,-0.015,0.003,3,1.02,Bipolar and major depression status_No Bipolar or Depression < 0.50,65786,(Cholelithiasis) OR (Gallbladder disease),0.526,2,196,,,
hypersensitivity,"Non-cancer illness code, self-reported | Array 6__hypersensitivity",0,0.004,0.007,0.002,3,1,"Non-cancer illness code, self-reported | Array 6__hypersensitivity < 0.23",5139,(Cholelithiasis) OR (Gallbladder disease),0.59,2,447,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Asthma|Hayfever, allergic rhinitis or eczema","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma|Hayfever, allergic rhinitis or eczema",0,0.01,0.006,0.002,3,1.08,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma|Hayfever, allergic rhinitis or eczema >= 0.50",37637,(Cholelithiasis) OR (Gallbladder disease),0.31,2,92,,,
reflux gord,"Non-cancer illness code, self-reported | Array 0__reflux gord",0,0.004,0.007,0.001,3,1.21,"Non-cancer illness code, self-reported | Array 0__reflux gord >= 0.14",922,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Z60.2 - Living alone,Z60.2 - Living alone,0,0.084,0.006,0.001,3,2,11.00 <= Z60.2 - Living alone < 13.00,9049,(Cholelithiasis) OR (Gallbladder disease),0.526,2,132,,,
Job code at visit sales retail,Job code at visit__sales retail,0,0.051,0.004,0.001,3,1.13,Job code at visit__sales retail >= 0.25,17316,(Cholelithiasis) OR (Gallbladder disease),0.565,99,43,,,
medication amitriptyline,Treatment/medication code | Array 0__amitriptyline,0,0,0.015,0,3,1.3,Treatment/medication code | Array 0__amitriptyline >= 0.68,3098,(Cholelithiasis) OR (Gallbladder disease),0.861,2,0,,,
gord,"Non-cancer illness code, self-reported | Array 0__gord",0,0.004,0.007,0,3,1.21,"Non-cancer illness code, self-reported | Array 0__gord >= 0.14",1168,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
allergic rhinitis,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis",0,0.004,-0.007,0,3,1,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis < 0.22",37637,(Cholelithiasis) OR (Gallbladder disease),0.871,2,92,,,
Z90.4 - Acquired absence of other parts of digestive tract,Z90.4 - Acquired absence of other parts of digestive tract,0,0.073,0.004,0,3,1.71,Z90.4 - Acquired absence of other parts of digestive tract >= 7.70,2573,(Cholelithiasis) OR (Gallbladder disease),0.252,99,28,,,
Z86.1 - Personal history of infectious and parasitic diseases,Z86.1 - Personal history of infectious and parasitic diseases,0,0.046,-0.004,0,3,1.57,#NAME?,1066,(Cholelithiasis) OR (Gallbladder disease),0.283,99,171,,,
Skin colour,Skin colour_Do not know,0,0.008,0.006,0,3,1.16,Skin colour_Do not know >= 0.50,4463,(Cholelithiasis) OR (Gallbladder disease),0.914,2,16,,,
Orthostatic hypotension,Orthostatic hypotension,0,0,0.007,0,3,1.86,9.80 <= Orthostatic hypotension < 13.00,4166,(Cholelithiasis) OR (Gallbladder disease),0.864,99,169,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",0,0.003,0.007,0,3,1.51,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema >= 0.50",37637,(Cholelithiasis) OR (Gallbladder disease),0.314,2,92,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",0,0,0.009,0,3,1.53,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema >= 0.50",37637,(Cholelithiasis) OR (Gallbladder disease),0.265,2,92,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",0,0.013,0.006,0,3,1,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",37637,(Cholelithiasis) OR (Gallbladder disease),0.163,2,92,,,
dietary changes in the last 5 years,Major dietary changes in the last 5 years_No,0.017,0,-0.033,0.031,4,1.12,Major dietary changes in the last 5 years_No < 0.50,691,(Cholelithiasis) OR (Gallbladder disease),0.251,99,0,,,
Oily fish intake Less than once a week,Oily fish intake_Less than once a week,0.011,0,0.009,0.01,4,1.04,Oily fish intake_Less than once a week >= 0.50,4337,(Cholelithiasis) OR (Gallbladder disease),0.162,99,0,,,
Oily fish intake 2-4 times a week,Oily fish intake_2-4 times a week,0.01,0,-0.017,0.002,4,1.02,Oily fish intake_2-4 times a week < 0.50,4337,(Cholelithiasis) OR (Gallbladder disease),0.229,99,0,,,
Ethnic background Caribbean,Ethnic background_Caribbean,0.006,0,-0.015,0,4,1,Ethnic background_Caribbean < 0.50,5011,(Cholelithiasis) OR (Gallbladder disease),0.66,99,9,,,
Overall health rating Good,Overall health rating_Good,0.004,0,-0.028,0.029,4,1.1,Overall health rating_Good < 0.50,15970,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Potassium in urine,Potassium in urine,0.004,0.275,-0.001,0,4,1.48,0.50 <= Potassium in urine < 0.50,4176,(Cholelithiasis) OR (Gallbladder disease),0.6,2,0,,,
Doctor diagnosed asthma,Doctor diagnosed asthma_None,0.003,0,0.016,0.033,4,1.03,Doctor diagnosed asthma_None >= 0.50,5653,(Cholelithiasis) OR (Gallbladder disease),0.387,2,209,,,
Tea intake,Tea intake,0.002,0.203,0.002,0.003,4,1.15,2.70 <= Tea intake < 6.10,4337,(Cholelithiasis) OR (Gallbladder disease),0.373,99,0,,,
Anal and rectal conditions,Anal and rectal conditions,0.001,0.057,0.004,0,4,1.43,3.10 <= Anal and rectal conditions < 8.60,5511,(Cholelithiasis) OR (Gallbladder disease),0.591,2,7,,,
Potassium in urine result flag infrequent,Potassium in urine result flag_infrequent_,0,0.044,0.005,0.001,4,1,All values,4176,(Cholelithiasis) OR (Gallbladder disease),0.453,2,0,,,
Oily fish intake Once or more daily,Oily fish intake_Once or more daily,0,0.002,-0.007,0.001,4,1,Oily fish intake_Once or more daily < 0.50,4337,(Cholelithiasis) OR (Gallbladder disease),0.197,99,0,,,
vaginal prolapse,"Non-cancer illness code, self-reported | Array 2__vaginal prolapse",0,0.016,0.006,0,4,1.46,"Non-cancer illness code, self-reported | Array 2__vaginal prolapse >= 0.17",12035,(Cholelithiasis) OR (Gallbladder disease),0.978,2,0,,,
uterine prolapse,"Non-cancer illness code, self-reported | Array 2__uterine prolapse",0,0.016,0.006,0,4,1.46,"Non-cancer illness code, self-reported | Array 2__uterine prolapse >= 0.17",7679,(Cholelithiasis) OR (Gallbladder disease),0.894,2,299,,,
sciatica,"Non-cancer illness code, self-reported | Array 6__sciatica",0,0.007,0.006,0,4,1,"Non-cancer illness code, self-reported | Array 6__sciatica < 0.50",7636,(Cholelithiasis) OR (Gallbladder disease),0.842,2,61,,,
prolapse uterine,"Non-cancer illness code, self-reported | Array 2__prolapse uterine",0,0.016,0.006,0,4,1.46,"Non-cancer illness code, self-reported | Array 2__prolapse uterine >= 0.17",7679,(Cholelithiasis) OR (Gallbladder disease),0.455,2,7,,,
panic,"Non-cancer illness code, self-reported | Array 3__panic",0,0.005,0.006,0,4,1.45,"Non-cancer illness code, self-reported | Array 3__panic >= 0.22",19788,(Cholelithiasis) OR (Gallbladder disease),0.75,2,69,,,
medication adalat,Treatment/medication code | Array 0__adalat,0,0.011,0.006,0,4,1.34,Treatment/medication code | Array 0__adalat >= 0.25,6390,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
embolism dvt,"Non-cancer illness code, self-reported | Array 0__embolism dvt",0,0.04,0.005,0,4,1.24,"Non-cancer illness code, self-reported | Array 0__embolism dvt >= 0.23",6347,(Cholelithiasis) OR (Gallbladder disease),0.655,2,50,,,
Oily fish intake 5-6 times a week,Oily fish intake_5-6 times a week,0,0.001,-0.008,0,4,1,Oily fish intake_5-6 times a week < 0.50,4337,(Cholelithiasis) OR (Gallbladder disease),0.163,99,0,,,
Oily fish intake,Oily fish intake_Do not know,0,0.006,0.006,0,4,1.25,Oily fish intake_Do not know >= 0.50,4337,(Cholelithiasis) OR (Gallbladder disease),0.271,99,0,,,
Mental health conditions ever diagnosed by a professional spiders panic,Mental health conditions ever diagnosed by a professional__spiders panic,0,0.007,0.006,0,4,1,Mental health conditions ever diagnosed by a professional__spiders panic < 0.16,19788,(Cholelithiasis) OR (Gallbladder disease),0.574,2,69,,,
Mental health conditions ever diagnosed by a professional group panic,Mental health conditions ever diagnosed by a professional__group panic,0,0.029,-0.005,0,4,1,Mental health conditions ever diagnosed by a professional__group panic < 0.29,19788,(Cholelithiasis) OR (Gallbladder disease),0.674,2,69,,,
Mental health conditions ever diagnosed by a professional depression panic,Mental health conditions ever diagnosed by a professional__depression panic,0,0.008,0.006,0,4,1.54,Mental health conditions ever diagnosed by a professional__depression panic >= 0.40,19788,(Cholelithiasis) OR (Gallbladder disease),0.596,2,69,,,
"Long-standing illness, disability or infirmity","Long-standing illness, disability or infirmity_Yes",0.026,0,0.043,0.015,5,1.18,"Long-standing illness, disability or infirmity_Yes >= 0.50",22987,(Cholelithiasis) OR (Gallbladder disease),0.617,2,150,,,
3-Hydroxybutyrate,3-Hydroxybutyrate,0.001,0.173,-0.002,0,5,1.21,2.70 <= 3-Hydroxybutyrate < 2.90,9776,(Cholelithiasis) OR (Gallbladder disease),0.767,2,1,,,
Ever had bowel cancer screening,Ever had bowel cancer screening_Yes,0,0,0.012,0.012,5,1.05,Ever had bowel cancer screening_Yes >= 0.50,459,(Cholelithiasis) OR (Gallbladder disease),0.402,2,46,,,
eye,"Non-cancer illness code, self-reported | Array 1__eye",0,0.002,-0.007,0.001,5,1,"Non-cancer illness code, self-reported | Array 1__eye < 0.22",17143,(Cholelithiasis) OR (Gallbladder disease),0.602,2,182,,,
slipped disc,"Non-cancer illness code, self-reported | Array 6__slipped disc",0,0,0.008,0,5,1,"Non-cancer illness code, self-reported | Array 6__slipped disc < 0.17",21667,(Cholelithiasis) OR (Gallbladder disease),0.729,2,88,,,
prolapsed disc,"Non-cancer illness code, self-reported | Array 6__prolapsed disc",0,0,0.008,0,5,1,"Non-cancer illness code, self-reported | Array 6__prolapsed disc < 0.17",21783,(Cholelithiasis) OR (Gallbladder disease),0.813,2,88,,,
myxoedema,"Non-cancer illness code, self-reported | Array 4__myxoedema",0,0,0.008,0,5,1.53,"Non-cancer illness code, self-reported | Array 4__myxoedema >= 0.29",4697,(Cholelithiasis) OR (Gallbladder disease),0.638,2,0,,,
medication mineral preparations,Treatment/medication code | Array 0__mineral preparations,0,0.017,-0.005,0,5,1,Treatment/medication code | Array 0__mineral preparations < 0.22,12587,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
hypothyroidism myxoedema,"Non-cancer illness code, self-reported | Array 4__hypothyroidism myxoedema",0,0,0.008,0,5,1.53,"Non-cancer illness code, self-reported | Array 4__hypothyroidism myxoedema >= 0.29",4234,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
diabetic eye,"Non-cancer illness code, self-reported | Array 2__diabetic eye",0,0.013,0.006,0,5,1.5,"Non-cancer illness code, self-reported | Array 2__diabetic eye >= 0.24",17143,(Cholelithiasis) OR (Gallbladder disease),0.46,2,182,,,
Ethnic background Any other Asian background,Ethnic background_Any other Asian background,0,0.038,-0.005,0,5,1,Ethnic background_Any other Asian background < 0.50,4011,(Cholelithiasis) OR (Gallbladder disease),0.722,2,95,,,
"Age hay fever, rhinitis or eczema diagnosed","Age hay fever, rhinitis or eczema diagnosed_18",0,0.023,-0.005,0,5,1,"Age hay fever, rhinitis or eczema diagnosed_18 < 0.50",16767,(Cholelithiasis) OR (Gallbladder disease),0.678,2,62,,,
Mean platelet thrombocyte volume,Mean platelet (thrombocyte) volume,0.006,0.596,-0.001,0,6,1.51,#NAME?,3391,(Cholelithiasis) OR (Gallbladder disease),0.534,2,16,,,
Poisoning by psychotropic agents,Poisoning by psychotropic agents,0.001,0.115,0.003,0,6,2.45,#NAME?,17952,(Cholelithiasis) OR (Gallbladder disease),0.596,2,9,,,
Job code at visit industrial trainers,Job code at visit__industrial trainers,0,0.042,-0.005,0.001,6,1,Job code at visit__industrial trainers < 0.20,15393,(Cholelithiasis) OR (Gallbladder disease),0.424,3,71,,,
Benign neoplasm of other parts of digestive system,Benign neoplasm of other parts of digestive system,0,0.04,0.009,0.001,6,1.65,1.90 <= Benign neoplasm of other parts of digestive system < 3.50,276,(Cholelithiasis) OR (Gallbladder disease),0.302,2,132,,,
eczema dermatitis,"Non-cancer illness code, self-reported | Array 1__eczema dermatitis",0,0.024,-0.005,0,6,1,"Non-cancer illness code, self-reported | Array 1__eczema dermatitis < 0.29",21534,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Ethnic background Prefer not to answer,Ethnic background_Prefer not to answer,0,0.018,-0.005,0,6,1,Ethnic background_Prefer not to answer < 0.50,5839,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Testosterone,Testosterone,0.016,0,-0.018,0,7,1.68,0.35 <= Testosterone < 0.36,27178,(Cholelithiasis) OR (Gallbladder disease),0.758,2,22,,,
Doctor diagnosed lung cancer not mesothelioma,Doctor diagnosed lung cancer (not mesothelioma)_No,0,0,-0.016,0.005,7,1.03,Doctor diagnosed lung cancer (not mesothelioma)_No < 0.50,5392,(Cholelithiasis) OR (Gallbladder disease),0.642,2,286,,,
medication glucosamine,Treatment/medication code | Array 0__glucosamine,0,0,-0.008,0.001,7,1,Treatment/medication code | Array 0__glucosamine < 0.31,3808,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
valve,"Non-cancer illness code, self-reported | Array 2__valve",0,0.029,0.003,0,7,1.28,"Non-cancer illness code, self-reported | Array 2__valve >= 0.16",7869,(Cholelithiasis) OR (Gallbladder disease),0.864,2,233,,,
glaucoma,"Non-cancer illness code, self-reported | Array 3__glaucoma",0,0.016,0.006,0,7,1.54,"Non-cancer illness code, self-reported | Array 3__glaucoma >= 0.50",89860,(Cholelithiasis) OR (Gallbladder disease),0.857,2,43,,,
Overall health rating Poor,Overall health rating_Poor,0.016,0,0.041,0.001,8,1.5,Overall health rating_Poor >= 0.50,15757,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
HEIGHT height genetic risk,(HEIGHT) height genetic risk,0.008,0,0.007,0.001,8,1.17,#NAME?,3703,(Cholelithiasis) OR (Gallbladder disease),0.707,3,65,,,
Falls in the last year Only one fall,Falls in the last year_Only one fall,0.001,0.065,0.004,0.003,8,1.03,Falls in the last year_Only one fall >= 0.50,30738,(Cholelithiasis) OR (Gallbladder disease),0.486,2,205,,,
nasal polyps,"Non-cancer illness code, self-reported | Array 3__nasal polyps",0,0.011,0.006,0.001,8,1.69,"Non-cancer illness code, self-reported | Array 3__nasal polyps >= 0.31",11352,(Cholelithiasis) OR (Gallbladder disease),0.817,2,179,,,
medication simvastatin,Treatment/medication code | Array 0__simvastatin,0,0.002,-0.007,0,8,1,Treatment/medication code | Array 0__simvastatin < 0.50,5390,(Cholelithiasis) OR (Gallbladder disease),0.852,2,6,,,
Triglycerides Blood biochemistry,Triglycerides Blood biochemistry,0.072,0,0.038,0,9,1.32,#NAME?,7903,(Cholelithiasis) OR (Gallbladder disease),0.904,99,71,,,
Haemoglobin concentration,Haemoglobin concentration,0.012,0.064,-0.006,0,9,1.53,2.10 <= Haemoglobin concentration < 2.20,1668,(Cholelithiasis) OR (Gallbladder disease),0.614,2,358,,,
Medication for cholesterol blood pressure diabetes or take exogenous hormones Cholesterol lowering medication Blood pressure medication,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",0.011,0.277,0.002,0,9,1.03,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication >= 0.50",8167,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
CAD coronary artery disease genetic risk,(CAD) coronary artery disease genetic risk,0.011,0.325,-0.002,0,9,1.08,(CAD) coronary artery disease genetic risk < -2.00,10354,(Cholelithiasis) OR (Gallbladder disease),0.598,2,19,,,
Medication for cholesterol blood pressure diabetes or take exogenous hormones Blood pressure medication,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0.002,0,0.022,0.001,9,1.27,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication >= 0.50",8168,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Medication for cholesterol blood pressure diabetes or take exogenous hormones Cholesterol lowering medication Blood pressure medication Insulin,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication|Insulin",0,0,0.009,0,9,1.49,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication|Insulin >= 0.50",8167,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Wheeze or whistling in the chest in last year,Wheeze or whistling in the chest in last year_Yes,0.002,0,0.028,0.005,10,1.16,Wheeze or whistling in the chest in last year_Yes >= 0.50,27094,(Cholelithiasis) OR (Gallbladder disease),0.716,2,10,,,
attack myocardial,"Non-cancer illness code, self-reported | Array 0__attack myocardial",0,0,0.015,0.001,10,1.27,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19",9298,(Cholelithiasis) OR (Gallbladder disease),0.298,99,146,,,
medication arthrotec,Treatment/medication code | Array 0__arthrotec,0,0.016,0.006,0,10,1.51,0.32 <= Treatment/medication code | Array 0__arthrotec < 0.69,10282,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
headaches migraine,"Non-cancer illness code, self-reported | Array 4__headaches migraine",0,0.018,0.005,0,10,1.72,"Non-cancer illness code, self-reported | Array 4__headaches migraine >= 0.30",29029,(Cholelithiasis) OR (Gallbladder disease),0.823,2,0,,,
allergy anaphylactic,"Non-cancer illness code, self-reported | Array 3__allergy anaphylactic",0,0.021,0.005,0,10,1.52,"0.18 <= Non-cancer illness code, self-reported | Array 3__allergy anaphylactic < 0.37",10010,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Contra-indications for spirometry,Contra-indications for spirometry_Yes,0,0,0.015,0,10,1.16,Contra-indications for spirometry_Yes >= 0.50,37051,(Cholelithiasis) OR (Gallbladder disease),0.479,2,120,,,
Age cataract diagnosed,Age cataract diagnosed_54,0,0.028,0.005,0,10,1,Age cataract diagnosed_54 < 0.50,10674,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Age angina diagnosed,Age angina diagnosed_65,0,0.022,0.005,0,10,1.53,Age angina diagnosed_65 >= 0.50,9587,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Other mental disorder,Other mental disorder,0.005,0.004,0.01,0,11,1.39,#NAME?,78249,(Cholelithiasis) OR (Gallbladder disease),0.491,2,9,,,
Acetone,Acetone,0.002,0,-0.012,0.001,11,1.78,#NAME?,32627,(Cholelithiasis) OR (Gallbladder disease),0.864,2,179,,,
unclassifiable,"Non-cancer illness code, self-reported | Array 4__unclassifiable",0,0.01,0.006,0,11,1.26,"Non-cancer illness code, self-reported | Array 4__unclassifiable >= 0.50",14236,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Urate,Urate,0.005,0,0.009,0,12,1.04,#NAME?,11961,(Cholelithiasis) OR (Gallbladder disease),0.759,2,84,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor None of the above","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above",0,0,-0.012,0.034,12,1.05,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above < 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.288,2,22,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Asthma","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma",0,0,0.01,0.002,12,1.12,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma >= 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.331,2,22,,,
rhinitis,"Non-cancer illness code, self-reported | Array 0__rhinitis",0,0.004,-0.007,0.001,12,1,"Non-cancer illness code, self-reported | Array 0__rhinitis < 0.22",54468,(Cholelithiasis) OR (Gallbladder disease),0.877,2,265,,,
rheumatoid arthritis,"Non-cancer illness code, self-reported | Array 2__rheumatoid arthritis",0,0.044,0.005,0.001,12,1.28,"Non-cancer illness code, self-reported | Array 2__rheumatoid arthritis >= 0.30",23346,(Cholelithiasis) OR (Gallbladder disease),0.514,2,111,,,
dvt,"Non-cancer illness code, self-reported | Array 0__dvt",0,0.001,0.007,0.001,12,1.24,"0.18 <= Non-cancer illness code, self-reported | Array 0__dvt < 0.36",5989,(Cholelithiasis) OR (Gallbladder disease),0.507,2,10,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the lung|Emphysema/chronic bronchitis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Emphysema/chronic bronchitis",0,0.047,0.005,0.001,12,1,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the lung|Emphysema/chronic bronchitis < 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.322,2,22,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Asthma","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Asthma",0,0.006,0.006,0.001,12,1.48,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Asthma >= 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.306,2,22,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)",0,0,0.011,0.001,12,1.27,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT) >= 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.312,2,22,,,
muscle soft,"Non-cancer illness code, self-reported | Array 5__muscle soft",0,0.043,0.005,0,12,1.22,"0.19 <= Non-cancer illness code, self-reported | Array 5__muscle soft < 0.38",24964,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
enlarged prostate,"Non-cancer illness code, self-reported | Array 0__enlarged prostate",0,0.002,-0.007,0,12,1,"Non-cancer illness code, self-reported | Array 0__enlarged prostate < 0.29",7985,(Cholelithiasis) OR (Gallbladder disease),0.564,99,0,,,
eczema,"Non-cancer illness code, self-reported | Array 1__eczema",0,0.024,-0.005,0,12,1,"Non-cancer illness code, self-reported | Array 1__eczema < 0.29",27312,(Cholelithiasis) OR (Gallbladder disease),0.596,2,22,,,
Mental health conditions ever diagnosed by a professional social anxiety,Mental health conditions ever diagnosed by a professional__social anxiety,0,0.027,0.006,0,12,1.53,0.16 <= Mental health conditions ever diagnosed by a professional__social anxiety < 0.22,46137,(Cholelithiasis) OR (Gallbladder disease),0.27,99,0,,,
Ethnic background Any other white background,Ethnic background_Any other white background,0,0.001,-0.007,0,12,1,Ethnic background_Any other white background < 0.50,6267,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor infrequent","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_infrequent_",0,0.008,0.006,0,12,1.8,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_infrequent_ >= 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.331,2,22,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Asthma","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma",0,0,0.01,0,12,1.5,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma >= 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.335,2,22,,,
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis",0,0,0.01,0,12,1.3,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis >= 0.50",27312,(Cholelithiasis) OR (Gallbladder disease),0.36,2,22,,,
