feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C0013595,Eczema,"Eczema. A pruritic papulovesicular dermatitis occurring as a reaction to many endogenous and exogenous agents (Dorland, 27th ed).",0,0.327,0.0,0.0,0.0,0.0,0.0131,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,2,22,0.03
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C0002111,Allergy Specialty,Allergy Specialty. ,0,0.283,0.0,0.0,0.0,0.0,0.0131,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,99,26,inf
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C0020517,Hypersensitivity,"Hypersensitivity. Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.",0,0.217,0.0,0.0,0.0,0.0,0.0131,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,2,5,0.0
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C0023216,Lower Extremity,"Lower Extremity. The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",0,0.382,0.0,0.0,0.0,0.0,0.0131,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,2,49,0.02
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C1140621,Leg,Leg. The inferior part of the lower extremity between the KNEE and the ANKLE.,0,0.337,0.0,0.0,0.0,0.0,0.0131,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,2,83,0.06
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C2607914,Allergic rhinitis (disorder),"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.163,0.0,0.0,0.0,0.0,0.0131,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,2,92,46.0
Bipolar disorder status Bipolar Type I (Mania),C0005586,Bipolar Disorder,Bipolar Disorder. A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,0,0.583,0.0,0.0,0.0,0.0,0.004,0.007,0.0002,Bipolar disorder status_Bipolar Type I (Mania),1.5,330,Bipolar disorder status_Bipolar Type I (Mania) >= 0.50,0.03,0.03,2,0,0.0
Bipolar disorder status Bipolar Type I (Mania),C0338831,Manic,"Manic. Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.",0,0.489,0.0,0.0,0.0,0.0,0.004,0.007,0.0002,Bipolar disorder status_Bipolar Type I (Mania),1.5,330,Bipolar disorder status_Bipolar Type I (Mania) >= 0.50,0.03,0.03,2,404,0.87
Bipolar disorder status Bipolar Type I (Mania),C0564408,Manic mood,Manic mood. An emotional state characterized by marked to extreme elevation of mood with noticeable effect of functioning.,0,0.512,0.0,0.0,0.0,0.0,0.004,0.007,0.0002,Bipolar disorder status_Bipolar Type I (Mania),1.5,330,Bipolar disorder status_Bipolar Type I (Mania) >= 0.50,0.03,0.03,99,78,inf
Bipolar and major depression status Probable Recurrent major depression (severe),C0443156,Bipolar,Bipolar. ,0,0.445,0.0,0.0,0.0,0.0,0.0093,0.006,0.0,Bipolar and major depression status_Probable Recurrent major depression (severe),1.13,3675,Bipolar and major depression status_Probable Recurrent major depression (severe) >= 0.50,-0.02,-0.02,3,131,2.67
Bipolar and major depression status Probable Recurrent major depression (severe),C0011570,Mental Depression,Mental Depression. Depressive states usually of moderate intensity in contrast with MAJOR DEPRESSIVE DISORDER present in neurotic and psychotic disorders.,0,0.386,0.0,0.0,0.0,0.0,0.0093,0.006,0.0,Bipolar and major depression status_Probable Recurrent major depression (severe),1.13,3675,Bipolar and major depression status_Probable Recurrent major depression (severe) >= 0.50,-0.02,-0.02,2,8,0.02
Bipolar and major depression status Probable Recurrent major depression (severe),C0011581,Depressive disorder,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.45,0.0,0.0,0.0,0.0,0.0093,0.006,0.0,Bipolar and major depression status_Probable Recurrent major depression (severe),1.13,3675,Bipolar and major depression status_Probable Recurrent major depression (severe) >= 0.50,-0.02,-0.02,2,22,0.01
Bipolar and major depression status Probable Recurrent major depression (severe),C0154409,Recurrent major depressive episodes,Recurrent major depressive episodes. ,0,0.671,0.0,0.0,0.0,0.0,0.0093,0.006,0.0,Bipolar and major depression status_Probable Recurrent major depression (severe),1.13,3675,Bipolar and major depression status_Probable Recurrent major depression (severe) >= 0.50,-0.02,-0.02,2,119,1.89
Bipolar and major depression status Bipolar I Disorder,C0443156,Bipolar,Bipolar. ,0,0.607,0.0,0.0,0.0,0.0,0.004,0.007,0.0012,Bipolar and major depression status_Bipolar I Disorder,1.5,330,Bipolar and major depression status_Bipolar I Disorder >= 0.50,0.09,0.17,3,131,2.67
Bipolar and major depression status Bipolar I Disorder,C0205164,Major,"Major. Greater or bigger in amount, extent, or size.",0,0.156,0.0,0.0,0.0,0.0,0.004,0.007,0.0012,Bipolar and major depression status_Bipolar I Disorder,1.5,330,Bipolar and major depression status_Bipolar I Disorder >= 0.50,0.09,0.17,99,0,0.0
Bipolar and major depression status Bipolar I Disorder,C0011570,Mental Depression,Mental Depression. Depressive states usually of moderate intensity in contrast with MAJOR DEPRESSIVE DISORDER present in neurotic and psychotic disorders.,0,0.483,0.0,0.0,0.0,0.0,0.004,0.007,0.0012,Bipolar and major depression status_Bipolar I Disorder,1.5,330,Bipolar and major depression status_Bipolar I Disorder >= 0.50,0.09,0.17,2,8,0.02
Bipolar and major depression status Bipolar I Disorder,C0011581,Depressive disorder,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.474,0.0,0.0,0.0,0.0,0.004,0.007,0.0012,Bipolar and major depression status_Bipolar I Disorder,1.5,330,Bipolar and major depression status_Bipolar I Disorder >= 0.50,0.09,0.17,2,22,0.01
Bipolar and major depression status Bipolar I Disorder,C0853193,Bipolar I disorder,Bipolar I disorder. ,0,0.781,0.0,0.0,0.0,0.0,0.004,0.007,0.0012,Bipolar and major depression status_Bipolar I Disorder,1.5,330,Bipolar and major depression status_Bipolar I Disorder >= 0.50,0.09,0.17,2,0,0.0
Bipolar and major depression status Bipolar I Disorder,C0005586,Bipolar Disorder,Bipolar Disorder. A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,0,0.754,0.0,0.0,0.0,0.0,0.004,0.007,0.0012,Bipolar and major depression status_Bipolar I Disorder,1.5,330,Bipolar and major depression status_Bipolar I Disorder >= 0.50,0.09,0.17,2,0,0.0
Bipolar and major depression status No Bipolar or Depression,C0443156,Bipolar,Bipolar. ,0,0.498,0.0,0.0,0.0,0.0,0.0,-0.015,0.0026,Bipolar and major depression status_No Bipolar or Depression,1.02,158039,Bipolar and major depression status_No Bipolar or Depression < 0.50,0.06,0.06,3,131,2.67
Bipolar and major depression status No Bipolar or Depression,C0011570,Mental Depression,Mental Depression. Depressive states usually of moderate intensity in contrast with MAJOR DEPRESSIVE DISORDER present in neurotic and psychotic disorders.,0,0.37,0.0,0.0,0.0,0.0,0.0,-0.015,0.0026,Bipolar and major depression status_No Bipolar or Depression,1.02,158039,Bipolar and major depression status_No Bipolar or Depression < 0.50,0.06,0.06,2,8,0.02
Bipolar and major depression status No Bipolar or Depression,C0011581,Depressive disorder,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.275,0.0,0.0,0.0,0.0,0.0,-0.015,0.0026,Bipolar and major depression status_No Bipolar or Depression,1.02,158039,Bipolar and major depression status_No Bipolar or Depression < 0.50,0.06,0.06,2,22,0.01
Bipolar and major depression status No Bipolar or Depression,C0005587,"Depression, Bipolar","Depression, Bipolar. The depressive stage of bipolar disorder.",0,0.526,0.0,0.0,0.0,0.0,0.0,-0.015,0.0026,Bipolar and major depression status_No Bipolar or Depression,1.02,158039,Bipolar and major depression status_No Bipolar or Depression < 0.50,0.06,0.06,2,196,1.04
Bipolar and major depression status,C0443156,Bipolar,Bipolar. ,0,0.688,0.0,1.0,0.2,0.0,0.0,0.011,0.0341,Bipolar and major depression status_None,1.02,144629,Bipolar and major depression status_None >= 0.50,0.1,0.13,3,131,2.67
Bipolar and major depression status,C0205164,Major,"Major. Greater or bigger in amount, extent, or size.",0,0.209,0.0,1.0,0.2,0.0,0.0,0.011,0.0341,Bipolar and major depression status_None,1.02,144629,Bipolar and major depression status_None >= 0.50,0.1,0.13,99,0,0.0
Bipolar and major depression status,C0011570,Mental Depression,Mental Depression. Depressive states usually of moderate intensity in contrast with MAJOR DEPRESSIVE DISORDER present in neurotic and psychotic disorders.,0,0.584,0.0,1.0,0.2,0.0,0.0,0.011,0.0341,Bipolar and major depression status_None,1.02,144629,Bipolar and major depression status_None >= 0.50,0.1,0.13,2,8,0.02
Bipolar and major depression status,C0011581,Depressive disorder,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.544,0.0,1.0,0.2,0.0,0.0,0.011,0.0341,Bipolar and major depression status_None,1.02,144629,Bipolar and major depression status_None >= 0.50,0.1,0.13,2,22,0.01
Illnesses of mother 4 Stroke,C0038454,Cerebrovascular accident,"Cerebrovascular accident. A group of pathological conditions characterized by sudden, non-convulsive loss of neurological function due to BRAIN ISCHEMIA or INTRACRANIAL HEMORRHAGES. Stroke is classified by the type of tissue NECROSIS, such as the anatomic location, vasculature involved, etiology, age of the affected individual, and hemorrhagic vs. non-hemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)",0,0.476,0.0,0.0,0.0,0.0,0.0353,0.005,0.0,Illnesses of mother_4_Stroke,1.56,141,Illnesses of mother_4_Stroke >= 0.50,0.04,0.04,2,162,0.03
Illnesses of mother 2 Bowel cancer,C0346627,Intestinal Cancer,"Intestinal Cancer. A primary or metastatic malignant neoplasm involving the small intestine, large intestine, or both. Representative examples are carcinomas, lymphomas, and sarcomas.",0,0.648,0.0,0.0,0.0,0.0,0.0137,0.006,0.0,Illnesses of mother_2_Bowel cancer,1.3,687,Illnesses of mother_2_Bowel cancer >= 0.50,0.04,0.04,2,46,0.36
Illnesses of siblings,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.444,0.0,0.0,0.0,0.0,0.0,-0.015,0.0283,Illnesses of siblings_2_None,1.14,19790,Illnesses of siblings_2_None < 0.50,0.28,0.28,2,11,0.0
Illnesses of siblings 2 Breast cancer,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.219,0.0,0.0,0.0,0.0,0.0254,0.005,0.0,Illnesses of siblings_2_Breast cancer,1.26,733,Illnesses of siblings_2_Breast cancer >= 0.50,0.1,0.1,2,11,0.0
Illnesses of siblings 2 Breast cancer,C0006142,Malignant neoplasm of breast,Malignant neoplasm of breast. A primary or metastatic malignant neoplasm involving the breast. The vast majority of cases are carcinomas arising from the breast parenchyma or the nipple. Malignant breast neoplasms occur more frequently in females than in males.,0,0.649,0.0,0.0,0.0,0.0,0.0254,0.005,0.0,Illnesses of siblings_2_Breast cancer,1.26,733,Illnesses of siblings_2_Breast cancer >= 0.50,0.1,0.1,2,54,0.01
Illnesses of siblings 2 Breast cancer,C0678222,Breast Carcinoma,"Breast Carcinoma. A carcinoma arising from the breast, most commonly the terminal ductal-lobular unit. It is the most common malignant tumor in females. Risk factors include country of birth, family history, menstrual and reproductive history, fibrocystic disease and epithelial hyperplasia, exogenous estrogens, contraceptive agents, and ionizing radiation. The vast majority of breast carcinomas are adenocarcinomas (ductal or lobular). Breast carcinoma spreads by direct invasion, by the lymphatic route, and by the blood vessel route. The most common site of lymph node involvement is the axilla.",0,0.601,0.0,0.0,0.0,0.0,0.0254,0.005,0.0,Illnesses of siblings_2_Breast cancer,1.26,733,Illnesses of siblings_2_Breast cancer >= 0.50,0.1,0.1,2,35,0.03
Illnesses of siblings 2 Breast cancer,C0376571,BRCA1 gene,"BRCA1 gene. A tumor suppressor gene (GENES, TUMOR SUPPRESSOR) located on human CHROMOSOME 17 at locus 17q21. Mutations of this gene are associated with the formation of HEREDITARY BREAST AND OVARIAN CANCER SYNDROME. It encodes a large nuclear protein that is a component of DNA repair pathways.",0,0.519,0.0,0.0,0.0,0.0,0.0254,0.005,0.0,Illnesses of siblings_2_Breast cancer,1.26,733,Illnesses of siblings_2_Breast cancer >= 0.50,0.1,0.1,2,0,0.0
Illnesses of siblings 2 Chronic bronchitis/emphysema,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.343,0.0,0.0,0.0,0.0,0.0018,0.007,0.0005,Illnesses of siblings_2_Chronic bronchitis/emphysema,1.37,715,Illnesses of siblings_2_Chronic bronchitis/emphysema >= 0.50,0.23,0.31,2,11,0.0
Illnesses of siblings 2 Do not know (group 1),C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.387,0.0,0.0,0.0,0.0,0.0398,0.005,0.0,Illnesses of siblings_2_Do not know (group 1),1.65,100,Illnesses of siblings_2_Do not know (group 1) >= 0.50,0.1,0.1,2,11,0.0
Illnesses of siblings 2 Do not know (group 1),C0687744,Social group,"Social group. A collection of two or more people who share a common identity as defined by beliefs, codes of conduct, CULTURE and SOCIAL NORMS.",0,0.23,0.0,0.0,0.0,0.0,0.0398,0.005,0.0,Illnesses of siblings_2_Do not know (group 1),1.65,100,Illnesses of siblings_2_Do not know (group 1) >= 0.50,0.1,0.1,2,36,0.17
Illnesses of siblings 2 High blood pressure,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.263,0.0,1.0,0.5,0.0,0.0132,0.006,0.0002,Illnesses of siblings_2_High blood pressure,1.21,1332,Illnesses of siblings_2_High blood pressure >= 0.50,0.13,0.13,2,11,0.0
Illnesses of siblings 2 None of the above (group 2),C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.376,0.0,0.0,0.0,0.0,0.0025,0.007,0.0005,Illnesses of siblings_2_None of the above (group 2),1.1,9099,Illnesses of siblings_2_None of the above (group 2) >= 0.50,0.19,0.19,2,11,0.0
Illnesses of siblings 2 Stroke,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.191,0.0,0.0,0.0,0.0,0.0302,0.005,0.0,Illnesses of siblings_2_Stroke,1.19,1244,Illnesses of siblings_2_Stroke >= 0.50,0.13,0.13,2,11,0.0
Illnesses of siblings 2 Stroke,C0038454,Cerebrovascular accident,"Cerebrovascular accident. A group of pathological conditions characterized by sudden, non-convulsive loss of neurological function due to BRAIN ISCHEMIA or INTRACRANIAL HEMORRHAGES. Stroke is classified by the type of tissue NECROSIS, such as the anatomic location, vasculature involved, etiology, age of the affected individual, and hemorrhagic vs. non-hemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)",0,0.576,0.0,0.0,0.0,0.0,0.0302,0.005,0.0,Illnesses of siblings_2_Stroke,1.19,1244,Illnesses of siblings_2_Stroke >= 0.50,0.13,0.13,2,162,0.03
Illnesses of siblings 3 Bowel cancer,C0346627,Intestinal Cancer,"Intestinal Cancer. A primary or metastatic malignant neoplasm involving the small intestine, large intestine, or both. Representative examples are carcinomas, lymphomas, and sarcomas.",0,0.635,0.0,0.0,0.0,0.0,0.0006,0.008,0.0,Illnesses of siblings_3_Bowel cancer,1.9,145,Illnesses of siblings_3_Bowel cancer >= 0.50,0.08,0.08,2,46,0.36
Illnesses of siblings 3 Breast cancer,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.23,0.0,0.0,0.0,0.0,0.0135,0.006,0.0,Illnesses of siblings_3_Breast cancer,1.58,181,Illnesses of siblings_3_Breast cancer >= 0.50,0.08,0.08,2,11,0.0
Illnesses of siblings 3 Breast cancer,C0006142,Malignant neoplasm of breast,Malignant neoplasm of breast. A primary or metastatic malignant neoplasm involving the breast. The vast majority of cases are carcinomas arising from the breast parenchyma or the nipple. Malignant breast neoplasms occur more frequently in females than in males.,0,0.588,0.0,0.0,0.0,0.0,0.0135,0.006,0.0,Illnesses of siblings_3_Breast cancer,1.58,181,Illnesses of siblings_3_Breast cancer >= 0.50,0.08,0.08,2,54,0.01
Illnesses of siblings 3 Breast cancer,C0678222,Breast Carcinoma,"Breast Carcinoma. A carcinoma arising from the breast, most commonly the terminal ductal-lobular unit. It is the most common malignant tumor in females. Risk factors include country of birth, family history, menstrual and reproductive history, fibrocystic disease and epithelial hyperplasia, exogenous estrogens, contraceptive agents, and ionizing radiation. The vast majority of breast carcinomas are adenocarcinomas (ductal or lobular). Breast carcinoma spreads by direct invasion, by the lymphatic route, and by the blood vessel route. The most common site of lymph node involvement is the axilla.",0,0.529,0.0,0.0,0.0,0.0,0.0135,0.006,0.0,Illnesses of siblings_3_Breast cancer,1.58,181,Illnesses of siblings_3_Breast cancer >= 0.50,0.08,0.08,2,35,0.03
Illnesses of siblings 3 Breast cancer,C0376571,BRCA1 gene,"BRCA1 gene. A tumor suppressor gene (GENES, TUMOR SUPPRESSOR) located on human CHROMOSOME 17 at locus 17q21. Mutations of this gene are associated with the formation of HEREDITARY BREAST AND OVARIAN CANCER SYNDROME. It encodes a large nuclear protein that is a component of DNA repair pathways.",0,0.442,0.0,0.0,0.0,0.0,0.0135,0.006,0.0,Illnesses of siblings_3_Breast cancer,1.58,181,Illnesses of siblings_3_Breast cancer >= 0.50,0.08,0.08,2,0,0.0
Illnesses of siblings 3 Lung cancer,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.287,0.0,0.0,0.0,0.0,0.0012,0.007,0.0004,Illnesses of siblings_3_Lung cancer,1.67,230,Illnesses of siblings_3_Lung cancer >= 0.50,0.1,0.1,2,11,0.0
Illnesses of siblings 3 Lung cancer,C0242379,Malignant neoplasm of lung,Malignant neoplasm of lung. A primary or metastatic malignant neoplasm involving the lung.,0,0.569,0.0,0.0,0.0,0.0,0.0012,0.007,0.0004,Illnesses of siblings_3_Lung cancer,1.67,230,Illnesses of siblings_3_Lung cancer >= 0.50,0.1,0.1,2,286,0.07
Illnesses of siblings 3 Lung cancer,C0684249,Carcinoma of lung,"Carcinoma of lung. A carcinoma originating in the lung. Lung carcinomas usually arise from the epithelium that lines the bronchial tree (bronchogenic carcinomas), and are classified as small cell or non-small cell carcinomas. Non-small cell lung carcinomas are usually adenocarcinomas, squamous cell carcinomas, or large cell carcinomas. Metastatic carcinomas to the lung are also common, and can be difficult to distinguish from primary tumors.",0,0.491,0.0,0.0,0.0,0.0,0.0012,0.007,0.0004,Illnesses of siblings_3_Lung cancer,1.67,230,Illnesses of siblings_3_Lung cancer >= 0.50,0.1,0.1,2,173,1.9
Illnesses of siblings 3 Lung cancer,C1306460,Primary malignant neoplasm of lung,Primary malignant neoplasm of lung. ,0,0.627,0.0,0.0,0.0,0.0,0.0012,0.007,0.0004,Illnesses of siblings_3_Lung cancer,1.67,230,Illnesses of siblings_3_Lung cancer >= 0.50,0.1,0.1,2,0,0.0
Illnesses of siblings 1 Prefer not to answer (group 2),C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.395,0.0,0.0,0.0,0.0,0.0088,0.006,0.0005,Illnesses of siblings_1_Prefer not to answer (group 2),1.82,103,Illnesses of siblings_1_Prefer not to answer (group 2) >= 0.50,0.26,0.26,2,11,0.0
Illnesses of siblings 1 Prefer not to answer (group 2),C0687744,Social group,"Social group. A collection of two or more people who share a common identity as defined by beliefs, codes of conduct, CULTURE and SOCIAL NORMS.",0,0.224,0.0,0.0,0.0,0.0,0.0088,0.006,0.0005,Illnesses of siblings_1_Prefer not to answer (group 2),1.82,103,Illnesses of siblings_1_Prefer not to answer (group 2) >= 0.50,0.26,0.26,2,36,0.17
Illnesses of siblings 1 Parkinson's disease,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.321,0.0,0.0,0.0,0.0,0.0476,-0.005,0.0007,Illnesses of siblings_1_Parkinson's disease,1.0,189482,Illnesses of siblings_1_Parkinson's disease < 0.50,0.04,0.04,2,11,0.0
Illnesses of siblings 1 Parkinson's disease,C0030567,Parkinson Disease,"Parkinson Disease. A progressive, degenerative neurologic disease characterized by a TREMOR that is maximal at rest, retropulsion (i.e. a tendency to fall backwards), rigidity, stooped posture, slowness of voluntary movements, and a masklike facial expression. Pathologic features include loss of melanin containing neurons in the substantia nigra and other pigmented nuclei of the brainstem. LEWY BODIES are present in the substantia nigra and locus coeruleus but may also be found in a related condition (LEWY BODY DISEASE, DIFFUSE) characterized by dementia in combination with varying degrees of parkinsonism. (Adams et al., Principles of Neurology, 6th ed, p1059, pp1067-75)",0,0.628,0.0,0.0,0.0,0.0,0.0476,-0.005,0.0007,Illnesses of siblings_1_Parkinson's disease,1.0,189482,Illnesses of siblings_1_Parkinson's disease < 0.50,0.04,0.04,2,152,0.03
Illnesses of siblings 1 Lung cancer,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.342,0.0,0.0,0.0,0.0,0.0003,0.008,0.0008,Illnesses of siblings_1_Lung cancer,1.32,1268,Illnesses of siblings_1_Lung cancer >= 0.50,0.12,0.12,2,11,0.0
Illnesses of siblings 1 Lung cancer,C0242379,Malignant neoplasm of lung,Malignant neoplasm of lung. A primary or metastatic malignant neoplasm involving the lung.,0,0.524,0.0,0.0,0.0,0.0,0.0003,0.008,0.0008,Illnesses of siblings_1_Lung cancer,1.32,1268,Illnesses of siblings_1_Lung cancer >= 0.50,0.12,0.12,2,286,0.07
Illnesses of siblings 1 Lung cancer,C0684249,Carcinoma of lung,"Carcinoma of lung. A carcinoma originating in the lung. Lung carcinomas usually arise from the epithelium that lines the bronchial tree (bronchogenic carcinomas), and are classified as small cell or non-small cell carcinomas. Non-small cell lung carcinomas are usually adenocarcinomas, squamous cell carcinomas, or large cell carcinomas. Metastatic carcinomas to the lung are also common, and can be difficult to distinguish from primary tumors.",0,0.482,0.0,0.0,0.0,0.0,0.0003,0.008,0.0008,Illnesses of siblings_1_Lung cancer,1.32,1268,Illnesses of siblings_1_Lung cancer >= 0.50,0.12,0.12,2,173,1.9
Illnesses of siblings 1 Lung cancer,C1306460,Primary malignant neoplasm of lung,Primary malignant neoplasm of lung. ,0,0.622,0.0,0.0,0.0,0.0,0.0003,0.008,0.0008,Illnesses of siblings_1_Lung cancer,1.32,1268,Illnesses of siblings_1_Lung cancer >= 0.50,0.12,0.12,2,0,0.0
Illnesses of siblings 0 Prostate cancer,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.364,0.0,0.0,0.0,0.0,0.0352,0.005,0.0,Illnesses of siblings_0_Prostate cancer,1.12,2869,Illnesses of siblings_0_Prostate cancer >= 0.50,0.07,0.07,2,11,0.0
Illnesses of siblings 0 Prostate cancer,C0376358,Malignant neoplasm of prostate,Malignant neoplasm of prostate. A primary or metastatic malignant tumor involving the prostate gland. The vast majority are carcinomas.,0,0.378,0.0,0.0,0.0,0.0,0.0352,0.005,0.0,Illnesses of siblings_0_Prostate cancer,1.12,2869,Illnesses of siblings_0_Prostate cancer >= 0.50,0.07,0.07,2,8,0.0
