Query,feature_name,cui,cui_def,KG_Hits,sim_score,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
Food,"Never eat eggs, dairy, wheat, sugar Eggs or foods containing eggs|Sugar or foods/drinks containing sugar",C0016452,Food. Substances taken in by the body to provide nourishment.,0,0.356,0.0,0.0,0.0,0.004,0.007,0.0,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Sugar or foods/drinks containing sugar",1.27,1143,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Sugar or foods/drinks containing sugar >= 0.50",0.01,0.01,2,11,0.01,(Cholelithiasis) OR (Gallbladder disease),1698549,75025,1363,0.0,-1.337,0.0,7.0
Food,Salt added to food Always,C0016452,Food. Substances taken in by the body to provide nourishment.,0,0.365,0.0,0.0,0.0,0.0,0.015,0.0,Salt added to food_Always,1.2,10115,Salt added to food_Always >= 0.50,0.09,0.13,2,11,0.01,(Cholelithiasis) OR (Gallbladder disease),1698549,75025,1363,0.0,-1.337,0.0,7.0
Food,Salt added to food Usually,C0016452,Food. Substances taken in by the body to provide nourishment.,0,0.515,0.0,0.0,0.0,0.002,0.007,0.002,Salt added to food_Usually,1.06,23011,Salt added to food_Usually >= 0.50,0.08,0.08,2,11,0.01,(Cholelithiasis) OR (Gallbladder disease),1698549,75025,1363,0.0,-1.337,0.0,7.0
Food allergenic extracts,Salt added to food Never/rarely,C3540798,Food allergenic extracts. ,0,0.245,0.0,0.0,0.007,0.0,-0.014,0.027,Salt added to food_Never/rarely,1.05,87463,Salt added to food_Never/rarely < 0.50,0.04,0.04,99,55,inf,(Cholelithiasis) OR (Gallbladder disease),3031,75025,0,0.002,0.0,0.0,0.0
Food allergenic extracts,food,C3540798,Food allergenic extracts. ,0,0.533,0.0,0.0,0.0,0.036,0.004,0.001,"Non-cancer illness code, self-reported | Array 5__food",1.0,189552,"Non-cancer illness code, self-reported | Array 5__food < 0.21",0.1,0.11,99,55,inf,(Cholelithiasis) OR (Gallbladder disease),3031,75025,0,0.002,0.0,0.0,0.0
Food allergenic extracts,Salt added to food Always,C3540798,Food allergenic extracts. ,0,0.269,0.0,0.0,0.0,0.0,0.015,0.0,Salt added to food_Always,1.2,10115,Salt added to food_Always >= 0.50,0.09,0.13,99,55,inf,(Cholelithiasis) OR (Gallbladder disease),3031,75025,0,0.002,0.0,0.0,0.0
Food allergenic extracts,Salt added to food Usually,C3540798,Food allergenic extracts. ,0,0.362,0.0,0.0,0.0,0.002,0.007,0.002,Salt added to food_Usually,1.06,23011,Salt added to food_Usually >= 0.50,0.08,0.08,99,55,inf,(Cholelithiasis) OR (Gallbladder disease),3031,75025,0,0.002,0.0,0.0,0.0
Fracture,Fracture resulting from simple fall,C0016658,Fracture. A traumatic injury to the bone in which the continuity of the bone is broken.,0,0.585,0.0,0.0,0.0,0.067,-0.004,0.029,Fracture resulting from simple fall_None,1.04,19021,Fracture resulting from simple fall_None < 0.50,0.05,0.05,2,198,0.06,(Cholelithiasis) OR (Gallbladder disease),396431,75025,204,0.0,-1.978,0.0,1.0
Fracture resulting from simple fall,Fracture resulting from simple fall,,Fracture. A traumatic injury to the bone in which the continuity of the bone is broken.,0,0.585,0.0,0.0,0.0,0.067,-0.004,0.029,Fracture resulting from simple fall_None,1.04,19021,Fracture resulting from simple fall_None < 0.50,0.05,0.05,2,198,0.06,(Cholelithiasis) OR (Gallbladder disease),322,75025,1,0.861,0.615,0.0,0.0
Frequency of depressed mood in last 2 weeks,Frequency of depressed mood in last 2 weeks,,,0,1.0,0.0,0.0,0.0,0.0,0.011,0.001,Frequency of depressed mood in last 2 weeks_Do not know,1.16,8363,Frequency of depressed mood in last 2 weeks_Do not know >= 0.50,-0.06,-0.06,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),62,75025,0,0.882,0.0,0.0,0.0
Frequency of depressed mood in last 2 weeks Not at all,Frequency of depressed mood in last 2 weeks Not at all,,,0,1.0,0.0,0.0,0.0,0.0,-0.023,0.034,Frequency of depressed mood in last 2 weeks_Not at all,1.11,55084,Frequency of depressed mood in last 2 weeks_Not at all < 0.50,-0.08,-0.08,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),39,75025,0,0.924,0.0,0.0,0.0
Frequency of friend family visits Almost daily,Frequency of friend family visits Almost daily,,Daily or Almost Daily Response. A subjective response that something happens daily or almost daily.,0,0.712,0.0,0.0,0.001,0.0,0.016,0.001,Frequency of friend/family visits_Almost daily,1.13,24894,Frequency of friend/family visits_Almost daily >= 0.50,-0.04,-0.04,99,0,0.0,(Cholelithiasis) OR (Gallbladder disease),50,75025,0,0.903,0.0,0.0,0.0
Frequency of urination and polyuria,Frequency of urination and polyuria,,"Urination. Discharge of URINE, liquid waste processed by the KIDNEY, from the body.",0,0.667,0.0,0.0,0.0,0.021,0.003,0.0,Frequency of urination and polyuria,2.01,153,12.00 <= Frequency of urination and polyuria < 13.00,0.08,0.18,2,29,0.07,(Cholelithiasis) OR (Gallbladder disease),336,75025,0,0.506,0.0,0.0,0.0
Gain,Weight change compared with 1 year ago Yes - gained weight,C1517378,Gain. Gain; to increase or the amount of increase.,0,0.56,1.0,0.2,0.0,0.0,0.015,0.01,Weight change compared with 1 year ago_Yes - gained weight,1.07,60646,Weight change compared with 1 year ago_Yes - gained weight >= 0.50,0.08,0.24,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),349481,75025,240,0.0,-1.562,0.0,1.0
Gastritis,Other specified gastritis,C0017152,"Gastritis. Inflammation of the GASTRIC MUCOSA, a lesion observed in a number of unrelated disorders.",0,0.875,0.0,0.0,0.006,0.0,0.013,0.001,Other specified gastritis,2.18,303,Other specified gastritis >= 7.00,0.27,0.27,2,16,0.03,(Cholelithiasis) OR (Gallbladder disease),34773,75025,389,1.0,2.464,0.0,1.0
Gastroenteritis,A09.9 - Gastroenteritis and colitis of unspecified origin,C0017160,"Gastroenteritis. INFLAMMATION of any segment of the GASTROINTESTINAL TRACT from ESOPHAGUS to RECTUM. Causes of gastroenteritis are many including genetic, infection, HYPERSENSITIVITY, drug effects, and CANCER.",0,0.587,0.0,0.0,0.001,0.0,0.01,0.001,A09.9 - Gastroenteritis and colitis of unspecified origin,1.98,377,A09.9 - Gastroenteritis and colitis of unspecified origin >= 8.70,0.17,0.17,2,177,0.33,(Cholelithiasis) OR (Gallbladder disease),275326,75025,2322,1.0,2.056,0.0,1.0
Gastro-enteropancreatic neuroendocrine tumor,Benign neoplasm of other parts of digestive system,C2930967,Gastro-enteropancreatic neuroendocrine tumor. A well-differentiated neuroendocrine tumor arising from the digestive system. It is characterized by the presence of cells with features similar to those of the normal endocrine cells of the digestive system. The neoplastic cells express immunohistochemical evidence of neuroendocrine differentiation and hormones. There is mild to moderate nuclear atypia and less than 20 mitoses per 10 HPF. It includes well-differentiated endocrine tumors or carcinoid tumors and well-differentiated endocrine carcinomas.,0,0.517,0.0,0.0,0.0,0.04,0.009,0.001,Benign neoplasm of other parts of digestive system,1.65,307,1.90 <= Benign neoplasm of other parts of digestive system < 3.50,0.3,0.3,2,33,1.38,(Cholelithiasis) OR (Gallbladder disease),726,75025,8,1.0,2.442,0.0,1.0
Gastrointestinal system,Benign neoplasm of other parts of digestive system,C0012240,"Gastrointestinal system. A group of organs stretching from the MOUTH to the ANUS, serving to breakdown foods, assimilate nutrients, and eliminate waste. In humans, the digestive system includes the GASTROINTESTINAL TRACT and the accessory glands (LIVER; BILIARY TRACT; PANCREAS).",0,0.602,0.0,0.0,0.0,0.04,0.009,0.001,Benign neoplasm of other parts of digestive system,1.65,307,1.90 <= Benign neoplasm of other parts of digestive system < 3.50,0.3,0.3,2,297,3.45,(Cholelithiasis) OR (Gallbladder disease),1491837,75025,25473,1.0,3.074,0.0,1.0
Gastrointestinal tract structure,Z90.4 - Acquired absence of other parts of digestive tract,C0017189,"Gastrointestinal tract structure. Generally refers to the digestive structures stretching from the MOUTH to ANUS, but does not include the accessory glandular organs (LIVER; BILIARY TRACT; PANCREAS).",0,0.496,0.0,0.0,0.0,0.073,0.004,0.0,Z90.4 - Acquired absence of other parts of digestive tract,1.71,290,Z90.4 - Acquired absence of other parts of digestive tract >= 7.70,0.22,0.22,2,118,0.61,(Cholelithiasis) OR (Gallbladder disease),787342,75025,6809,1.0,2.093,0.0,1.0
General pain for 3 months infrequent,General pain for 3 months infrequent,,,0,1.0,0.0,0.0,0.0,0.044,0.005,0.0,General pain for 3+ months_infrequent_,1.0,189607,All values,0.05,0.05,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),142,75025,2,0.997,2.796,0.0,1.0
Genetic ethnic grouping Caucasian,Genetic ethnic grouping Caucasian,,,0,1.0,0.0,0.0,0.002,0.0,0.013,0.033,Genetic ethnic grouping_Caucasian,1.02,155258,Genetic ethnic grouping_Caucasian >= 0.50,-0.03,-0.03,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),12715,75025,24,0.412,-0.103,0.0,1.0
Genetic Risk,(LDL SF) low density lipoprotein cholesterol genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.728,1.0,0.2,0.024,0.0,-0.012,0.0,(LDL_SF) low density lipoprotein cholesterol genetic risk,1.54,143,(LDL_SF) low density lipoprotein cholesterol genetic risk >= 3.00,0.19,0.19,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(AD) alzheimer's disease genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.622,0.0,0.0,0.011,0.001,-0.006,0.0,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(CAD) coronary artery disease genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.714,1.0,0.2,0.011,0.325,-0.002,0.0,(CAD) coronary artery disease genetic risk,1.08,4476,(CAD) coronary artery disease genetic risk < -2.00,0.15,0.17,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(BD) bipolar disorder genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.649,0.0,0.0,0.009,0.009,-0.007,0.0,(BD) bipolar disorder genetic risk,1.03,101959,(BD) bipolar disorder genetic risk < 0.05,0.08,0.14,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(VTE) venous thromboembolic disease genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.708,0.0,0.0,0.009,0.002,0.007,0.001,(VTE) venous thromboembolic disease genetic risk,1.06,19054,-0.14 <= (VTE) venous thromboembolic disease genetic risk < 0.02,0.03,0.03,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(HEIGHT) height genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.707,0.0,0.0,0.008,0.0,0.007,0.001,(HEIGHT) height genetic risk,1.17,1601,-1.70 <= (HEIGHT) height genetic risk < -1.60,0.06,0.13,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(AMD) age-related macular degeneration genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.541,0.0,0.0,0.006,0.006,0.006,0.0,(AMD) age-related macular degeneration genetic risk,1.22,207,-0.01 <= (AMD) age-related macular degeneration genetic risk < -0.01,0.11,0.16,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(CVD) cardiovascular disease genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.737,1.0,0.3,0.006,0.873,0.0,0.0,(CVD) cardiovascular disease genetic risk,1.0,189215,(CVD) cardiovascular disease genetic risk >= -2.90,0.11,0.14,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(ISS) ischaemic stroke genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.619,0.0,0.0,0.005,0.0,0.011,0.0,(ISS) ischaemic stroke genetic risk,1.59,347,0.49 <= (ISS) ischaemic stroke genetic risk < 0.50,0.03,0.1,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(AAM) age at menopause genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.498,1.0,0.2,0.005,0.004,-0.006,0.0,(AAM) age at menopause genetic risk,1.62,102,0.78 <= (AAM) age at menopause genetic risk < 0.78,-0.02,-0.02,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(EBMDT) estimated bone mineral density t-score genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.665,0.0,0.0,0.005,0.028,-0.005,0.001,(EBMDT) estimated bone mineral density t-score genetic risk,1.26,280,-0.88 <= (EBMDT) estimated bone mineral density t-score genetic risk < -0.88,0.0,0.1,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(EOC) epithelial ovarian cancer genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.555,0.0,0.0,0.004,0.039,-0.005,0.001,(EOC) epithelial ovarian cancer genetic risk,1.3,253,0.50 <= (EOC) epithelial ovarian cancer genetic risk < 0.50,0.05,0.09,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(RA) rheumatoid arthritis genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.602,1.0,0.3,0.004,0.002,0.006,0.0,(RA) rheumatoid arthritis genetic risk,1.66,205,(RA) rheumatoid arthritis genetic risk < -2.80,0.09,0.1,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(SCZ) schizophrenia genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.714,0.0,0.0,0.004,0.145,-0.003,0.0,(SCZ) schizophrenia genetic risk,1.07,103,(SCZ) schizophrenia genetic risk < -3.40,0.06,0.08,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(MS) multiple sclerosis genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.602,0.0,0.0,0.003,0.942,0.001,0.0,(MS) multiple sclerosis genetic risk,1.18,1671,-1.90 <= (MS) multiple sclerosis genetic risk < -1.80,0.05,0.08,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(POAG) primary open angle glaucoma genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.63,0.0,0.0,0.003,0.168,-0.002,0.0,(POAG) primary open angle glaucoma genetic risk,1.34,328,1.80 <= (POAG) primary open angle glaucoma genetic risk < 1.80,0.12,0.12,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(AST) asthma genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.682,0.0,0.0,0.003,0.012,0.005,0.001,(AST) asthma genetic risk,1.09,10009,(AST) asthma genetic risk >= 1.60,0.02,0.12,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(MEL) melanoma genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.59,0.0,0.0,0.003,0.682,-0.001,0.001,(MEL) melanoma genetic risk,1.25,826,(MEL) melanoma genetic risk < -2.50,-0.03,-0.03,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(PSO) psoriasis genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.623,0.0,0.0,0.003,0.163,0.003,0.001,(PSO) psoriasis genetic risk,1.75,126,-0.83 <= (PSO) psoriasis genetic risk < -0.83,-0.02,-0.02,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(HBA1C DF) glycated haemoglobin genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.616,0.0,0.0,0.003,0.162,0.003,0.0,(HBA1C_DF) glycated haemoglobin genetic risk,1.54,100,(HBA1C_DF) glycated haemoglobin genetic risk >= 3.30,0.07,0.15,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(HT) hypertension genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.691,1.0,0.2,0.003,0.002,0.007,0.0,(HT) hypertension genetic risk,1.02,142041,(HT) hypertension genetic risk >= -0.65,0.02,0.05,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(CD) crohn's disease genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.633,0.0,0.0,0.002,0.129,0.003,0.001,(CD) crohn's disease genetic risk,2.08,243,-2.10 <= (CD) crohn's disease genetic risk < -2.10,0.17,0.17,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(IOP) intraocular pressure genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.591,0.0,0.0,0.002,0.713,0.001,0.0,(IOP) intraocular pressure genetic risk,1.01,130935,-0.51 <= (IOP) intraocular pressure genetic risk < 2.40,0.02,0.08,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(SLE) systemic lupus erythematosus genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.684,0.0,0.0,0.002,0.097,0.003,0.0,(SLE) systemic lupus erythematosus genetic risk,1.56,641,-1.10 <= (SLE) systemic lupus erythematosus genetic risk < -1.00,0.06,0.06,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(UC) ulcerative colitis genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.642,1.0,0.3,0.002,0.108,0.003,0.0,(UC) ulcerative colitis genetic risk,1.29,1283,1.80 <= (UC) ulcerative colitis genetic risk < 1.80,0.13,0.13,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(OP) osteoporosis genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.646,0.0,0.0,0.002,0.775,0.001,0.001,(OP) osteoporosis genetic risk,1.44,297,-3.00 <= (OP) osteoporosis genetic risk < -2.80,0.08,0.14,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(BC) breast cancer genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.651,0.0,0.0,0.001,0.053,0.004,0.0,(BC) breast cancer genetic risk,1.01,129831,(BC) breast cancer genetic risk >= -0.46,0.09,0.14,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(AF) atrial fibrillation genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.594,1.0,0.2,0.001,0.098,0.003,0.0,(AF) atrial fibrillation genetic risk,1.83,96,-1.80 <= (AF) atrial fibrillation genetic risk < -1.80,-0.05,0.1,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(CED) coeliac disease genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.7,0.0,0.0,0.001,0.22,0.003,0.0,(CED) coeliac disease genetic risk,1.15,4960,0.48 <= (CED) coeliac disease genetic risk < 0.61,0.18,0.24,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(PD) parkinson's disease genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.654,0.0,0.0,0.001,0.032,-0.005,0.001,(PD) parkinson's disease genetic risk,1.69,273,0.03 <= (PD) parkinson's disease genetic risk < 0.03,0.04,0.04,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genetic Risk,(PC) prostate cancer genetic risk,C1517512,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.651,0.0,0.0,0.001,0.316,-0.001,0.0,(PC) prostate cancer genetic risk,1.56,204,-2.20 <= (PC) prostate cancer genetic risk < -2.10,0.1,0.1,3,65,16.25,(Cholelithiasis) OR (Gallbladder disease),493492,75025,934,0.017,-0.099,0.0,31.0
Genitourinary system,Z87.4 - Personal history of diseases of the genito-urinary system,C0042066,"Genitourinary system. All the organs involved in reproduction and the formation and release of URINE. It includes the kidneys, ureters, BLADDER; URETHRA, and the organs of reproduction - ovaries, UTERUS; FALLOPIAN TUBES; VAGINA; and CLITORIS in women and the testes; SEMINAL VESICLES; PROSTATE; seminal ducts; and PENIS in men.",0,0.47,1.0,0.3,0.0,0.686,0.005,0.001,Z87.4 - Personal history of diseases of the genito-urinary system,1.66,219,Z87.4 - Personal history of diseases of the genito-urinary system < -14.00,0.06,0.06,2,198,6.19,(Cholelithiasis) OR (Gallbladder disease),1070257,75025,847,0.0,-1.357,0.0,1.0
Gestational Diabetes,Gestational diabetes only,C0085207,Gestational Diabetes. Diabetes mellitus induced by PREGNANCY but resolved at the end of pregnancy. It does not include previously diagnosed diabetics who become pregnant (PREGNANCY IN DIABETICS). Gestational diabetes usually develops in late pregnancy when insulin antagonistic hormones peaks leading to INSULIN RESISTANCE; GLUCOSE INTOLERANCE; and HYPERGLYCEMIA.,0,0.739,0.0,0.0,0.001,0.0,-0.011,0.035,Gestational diabetes only_None,1.18,6096,Gestational diabetes only_None < 0.50,0.03,0.03,2,138,0.09,(Cholelithiasis) OR (Gallbladder disease),34482,75025,10,0.0,-2.806,0.0,1.0
Gestational diabetes only,Gestational diabetes only,,Gestational Diabetes. Diabetes mellitus induced by PREGNANCY but resolved at the end of pregnancy. It does not include previously diagnosed diabetics who become pregnant (PREGNANCY IN DIABETICS). Gestational diabetes usually develops in late pregnancy when insulin antagonistic hormones peaks leading to INSULIN RESISTANCE; GLUCOSE INTOLERANCE; and HYPERGLYCEMIA.,0,0.739,0.0,0.0,0.001,0.0,-0.011,0.035,Gestational diabetes only_None,1.18,6096,Gestational diabetes only_None < 0.50,0.03,0.03,2,138,0.09,(Cholelithiasis) OR (Gallbladder disease),4517,75025,3,0.019,-1.61,0.0,1.0
Gingiva,Mouth/teeth dental problems Mouth ulcers|Painful gums,C0017562,Gingiva. Oral tissue surrounding and attached to TEETH.,0,0.502,0.0,0.0,0.0,0.014,0.006,0.0,Mouth/teeth dental problems_Mouth ulcers|Painful gums,1.32,583,Mouth/teeth dental problems_Mouth ulcers|Painful gums >= 0.50,0.18,0.24,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),27570,75025,1,0.0,-5.805,0.0,0.0
Glaucoma,Glaucoma,C0017601,"Glaucoma. An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function. The consequences of the increased pressure may be manifested in a variety of symptoms, depending upon type and severity, such as excavation of the optic disk, hardness of the eyeball, corneal anesthesia, reduced visual acuity, seeing of colored halos around lights, disturbed dark adaptation, visual field defects, and headaches. (Dictionary of Visual Science, 4th ed)",0,0.857,0.0,0.0,0.0,0.099,0.003,0.0,Glaucoma,1.64,134,-28.00 <= Glaucoma < -15.00,0.18,0.18,2,43,0.02,(Cholelithiasis) OR (Gallbladder disease),89860,75025,7,0.0,-4.702,0.0,2.0
Glaucoma,glaucoma,C0017601,"Glaucoma. An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function. The consequences of the increased pressure may be manifested in a variety of symptoms, depending upon type and severity, such as excavation of the optic disk, hardness of the eyeball, corneal anesthesia, reduced visual acuity, seeing of colored halos around lights, disturbed dark adaptation, visual field defects, and headaches. (Dictionary of Visual Science, 4th ed)",0,0.857,0.0,0.0,0.0,0.016,0.006,0.0,"Non-cancer illness code, self-reported | Array 3__glaucoma",1.54,200,"Non-cancer illness code, self-reported | Array 3__glaucoma >= 0.50",0.18,0.18,2,43,0.02,(Cholelithiasis) OR (Gallbladder disease),89860,75025,7,0.0,-4.702,0.0,2.0
"Glaucoma, Open-Angle",(POAG) primary open angle glaucoma genetic risk,C0017612,"Glaucoma, Open-Angle. Glaucoma in which the angle of the anterior chamber is open and the trabecular meshwork does not encroach on the base of the iris.",0,0.654,0.0,0.0,0.003,0.168,-0.002,0.0,(POAG) primary open angle glaucoma genetic risk,1.34,328,1.80 <= (POAG) primary open angle glaucoma genetic risk < 1.80,0.12,0.12,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),21809,75025,1,0.0,-5.467,0.0,0.0
"Glaucoma, Primary Open Angle",(POAG) primary open angle glaucoma genetic risk,C0339573,"Glaucoma, Primary Open Angle. A form of glaucoma in which there is no visible abnormality in the trabecular meshwork.",0,0.612,0.0,0.0,0.003,0.168,-0.002,0.0,(POAG) primary open angle glaucoma genetic risk,1.34,328,1.80 <= (POAG) primary open angle glaucoma genetic risk < 1.80,0.12,0.12,2,6,0.01,(Cholelithiasis) OR (Gallbladder disease),22609,75025,1,0.0,-5.519,0.0,0.0
glucosamine,Mineral and other dietary supplements Glucosamine,C0017718,"glucosamine. amino sugar derivative of glucose, substituted at the 2 position, occurring in glycosaminoglycans and a variety of complex polysaccharides such as blood group substances.",0,0.67,0.0,0.0,0.001,0.0,-0.009,0.001,Mineral and other dietary supplements_Glucosamine,1.01,177773,Mineral and other dietary supplements_Glucosamine < 0.50,0.03,0.03,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),25726,75025,19,0.0,-1.457,0.0,1.0
