Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,0.008,0.142,0.003,0.003,1,0.307,(RA) rheumatoid arthritis genetic risk,1.09,6905,8.22,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,(RA) rheumatoid arthritis genetic risk,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),4546,100459,8,0.133,-0.626,0,1
Rheumatoid arthritis,Rheumatoid arthritis,0.0,0.15,0.004,0.004,1,0.0,Rheumatoid arthritis,1.0,90983,99.08,-3.10 <= Rheumatoid arthritis < 3.60,Rheumatoid arthritis,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),175254,100459,342,0.0,-0.476,0,1
SHBG,SHBG,0.013,0.0,-0.071,-0.058,1,0.051,SHBG,1.68,2712,4.98,SHBG < -1.40,SHBG,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),10111,100459,12,0.001,-1.194,0,1
(T2D) type 2 diabetes genetic risk,(T2D) type 2 diabetes genetic risk,0.007,0.0,0.02,0.016,1,0.307,(T2D) type 2 diabetes genetic risk,1.11,10538,12.8,(T2D) type 2 diabetes genetic risk >= 1.20,(T2D) type 2 diabetes genetic risk,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),2719,100459,3,0.064,-1.299,0,1
Tea intake,Tea intake,0.021,0.0,-0.019,-0.017,1,0.001,Tea intake,1.09,34107,40.48,-1.00 <= Tea intake < 0.09,Tea intake,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3971,100459,8,0.252,-0.431,0,1
Testosterone,Testosterone,0.015,0.264,-0.016,-0.013,1,0.091,Testosterone,1.41,7043,10.86,-1.40 <= Testosterone < -0.47,Testosterone,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),115240,100459,56,0.0,-2.482,0,1
Triglycerides Blood biochemistry,Triglycerides Blood biochemistry,0.014,0.0,0.084,0.068,1,0.039,Triglycerides Blood biochemistry,1.92,2452,5.13,Triglycerides Blood biochemistry >= 2.50,Triglycerides Blood biochemistry,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),7552,100459,12,0.031,-0.773,0,1
Type 1 diabetes,Type 1 diabetes,0.001,0.003,0.006,0.006,1,0.0,Type 1 diabetes,1.0,90689,98.73,-0.06 <= Type 1 diabetes < 6.30,Type 1 diabetes,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),104803,100459,162,0.0,-0.813,0,1
Type 2 diabetes,Type 2 diabetes,0.007,0.621,0.001,0.001,1,0.001,Type 2 diabetes,1.44,937,1.47,Type 2 diabetes < -4.70,Type 2 diabetes,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),242765,100459,521,0.0,-0.339,0,1
Urate,Urate,0.805,0.0,0.214,0.175,1,0.067,Urate,4.68,1792,9.15,2.10 <= Urate < 2.90,Urate,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),52159,100459,80,0.0,-0.824,0,1
Urea,Urea,0.031,0.0,0.092,0.075,1,0.017,Urea,2.39,1761,4.6,1.90 <= Urea < 2.70,Urea,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),206791,100459,257,0.0,-1.127,0,1
(VTE) venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0.003,0.762,0.001,0.001,1,0.308,(VTE) venous thromboembolic disease genetic risk,1.0,91418,99.89,(VTE) venous thromboembolic disease genetic risk < 3.60,(VTE) venous thromboembolic disease genetic risk,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1205,100459,0,0.038,0.0,0,0
W19.9 - Unspecified place,W19.9 - Unspecified place,0.001,0.461,-0.002,-0.002,1,0.0,W19.9 - Unspecified place,1.0,90852,99.01,-7.00 <= W19.9 - Unspecified place < 0.04,W19.9 - Unspecified place,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),278,100459,0,0.47,0.0,0,0
Water intake,Water intake,0.05,0.0,0.056,0.049,1,0.002,Water intake,1.33,8123,11.8,1.30 <= Water intake < 9.70,Water intake,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),225192,100459,413,0.0,-0.566,0,1
Y83.6 - Removal of other organ (partial) (total),Y83.6 - Removal of other organ (partial) (total),0.0,0.069,-0.006,-0.006,1,0.0,Y83.6 - Removal of other organ (partial) (total),1.0,90691,98.89,-6.50 <= Y83.6 - Removal of other organ (partial) (total) < 3.20,Y83.6 - Removal of other organ (partial) (total),0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),99,100459,0,0.764,0.0,0,0
Z87.4 - Personal history of diseases of the genito-urinary system,Z87.4 - Personal history of diseases of the genito-urinary system,0.001,0.763,0.003,0.003,1,0.0,Z87.4 - Personal history of diseases of the genito-urinary system,0.99,89488,97.12,-2.00 <= Z87.4 - Personal history of diseases of the genito-urinary system < 0.02,Z87.4 - Personal history of diseases of the genito-urinary system,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),6015,100459,14,0.337,-0.222,0,1
Z96.6 - Presence of orthopaedic joint implants,Z96.6 - Presence of orthopaedic joint implants,0.001,0.001,-0.007,-0.007,1,0.0,Z96.6 - Presence of orthopaedic joint implants,1.33,1458,2.12,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,Z96.6 - Presence of orthopaedic joint implants,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1189,100459,0,0.039,0.0,0,0
